Name,URL,Remote Support,Adaptive,Duration,Test Type
SHL Verify - Verbal Ability - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,Yes,Yes,15 minutes,Cognitive
SHL Verify - Numerical Ability,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,Yes,No,20 minutes,Cognitive
SHL Verify - Inductive Reasoning,https://www.shl.com/shldirect/en/example-questions/inductive-reasoning/,Yes,No,Not specified,Cognitive
SHL Verify Interactive – Deductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-deductive-reasoning/,Yes,Yes,Not specified,Cognitive
SHL Verify Interactive – Numerical Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-reasoning/,Yes,Yes,Not specified,Cognitive
SHL Business Communications,https://www.shl.com/solutions/products/product-catalog/view/business-communications/,Yes,No,Not specified,Skills
SHL Interpersonal Communications,https://service.shl.com/docs/BB_Fact_Sheet_InterpersonalCommunications.pdf,Yes,No,22 minutes,Skills
SHL Occupational Personality Questionnaire (OPQ),https://www.shl.com/solutions/products/assessments/personality-assessment/shl-occupational-personality-questionnaire-opq/,Yes,No,20 minutes,Personality
SHL Motivation Questionnaire (MQ),https://www.shl.com/solutions/products/assessments/personality-assessment/shl-motivation-questionnaire-mq/,Yes,No,Not specified,Personality
SHL Verify G+,https://www.shl.com/solutions/products/product-catalog/view/verify-g/,Yes,Yes,32-36 minutes,Cognitive
